AICM Control ID,Control Domain,Control Title,Control Type,Relevance,AegisGate Features,Implementation Evidence
AIS-05,Application & Interface Security - AIS,Application Security Testing,Cloud & AI Related,full,scanner; ml; atlas,"Application security testing: 216 regex patterns (pkg/scanner/patterns.go), ATLAS threat detection (pkg/atlas/detector.go), ML classifier (pkg/ml/detector.go — CharCNN-BiLSTM, ONNX), adversarial robustness testing (pkg/ml/adversarial.go — PGD/FGSM), evasion resistance (pkg/ml/evasion_resistance.go). Test suite: 10,706 tests, 83.1% coverage."
AIS-06,Application & Interface Security - AIS,Secure Application Deployment,Cloud & AI Related,partial,scanner; mcp_guardrails,Secure deployment via proxy configuration; guardrails (pkg/mcpserver/guardrails.go) enforced at runtime; RBAC (pkg/rbac/manager.go) controls access; tool authorization (pkg/toolauth/matrix.go) restricts agent capabilities. Configuration validated by compliance scanner (pkg/compliance/module.go).
AIS-07,Application & Interface Security - AIS,Application Vulnerability Remediation,Cloud & AI Related,partial,cve; scanner; compliance,Vulnerability identification via CVE feed (pkg/cve/feed.go) and compliance scanning (pkg/compliance/module.go); remediation tracked via incident management (pkg/incident/engine.go) and SOAR (pkg/soar/soar.go); regulatory feed (pkg/compliance/regfeed.go) updates detection rules.
AIS-08,Application & Interface Security - AIS,API Security,Cloud & AI Related,full,scanner; mcp_guardrails; sigverify,"API security: proxy inspects all AI protocol traffic — MCP (pkg/mcpserver/), A2A (pkg/a2a/middleware.go, pkg/a2a/a2a_response_guard.go), ACP (pkg/acp/acp_guard.go), ANP (pkg/anp/guard.go), HTTP; MCP signature verification (pkg/signature_verification/mcp_verifier.go) validates tool integrity."
AIS-09,Application & Interface Security - AIS,Input Validation,Cloud & AI Related,full,scanner; ml,"Input validation: 216 regex detection patterns (pkg/scanner/patterns.go — Severity-classified) + ML classifier (pkg/ml/detector.go — CharCNN-BiLSTM, ONNX, <1ms CPU inference) scan all inbound prompts for injection, jailbreaks, and adversarial inputs."
AIS-10,Application & Interface Security - AIS,Output Validation,Cloud & AI Related,full,response_guard,"Output validation: PII scanner (pkg/response/pii_scanner.go — PHI/SSN/credit cards/emails/phones), secret detector (pkg/response/secret_detector.go — API keys/tokens/private keys), toxicity filter (pkg/response/toxicity_filter.go — violence/weapons/illegal/self-harm/harassment), hallucination detector (pkg/response/hallucination_detector.go), token limiter (pkg/response/token_limiter.go), redactor (pkg/response/redactor.go)."
AIS-11,Application & Interface Security - AIS,Agents Security Boundaries,AI-Specific,full,rbac; toolauth; mcp_guardrails,"Agent security boundaries: 4 agent roles (pkg/rbac/types.go — restricted/standard/privileged/admin with numeric hierarchy levels), tool authorization risk matrix (pkg/toolauth/matrix.go — RiskLevel with approval requirements), guardrails (pkg/mcpserver/guardrails.go — session/tool/rate limits)."
AIS-12,Application & Interface Security - AIS,Source Code Management,Cloud & AI Related,na,N/A,"Source code management is an organizational DevOps control — AegisGate is a runtime security proxy, not a CI/CD tool"
AIS-13,Application & Interface Security - AIS,AI Sandboxing,AI-Specific,partial,mcp_guardrails; promptcache,"AI sandboxing: MCP guardrails (pkg/mcpserver/guardrails.go — session limits, tool restrictions, rate limiting, stdio validation), prompt cache isolation (pkg/promptcache/cache.go with pkg/promptcache/verify.go for integrity verification). Does not provide full OS-level sandboxing."
AIS-14,Application & Interface Security - AIS,AI Cache Protection,AI-Specific,partial,promptcache; response_guard,"AI cache protection: prompt cache with verification (pkg/promptcache/verify.go — validates cache integrity), response guard (pkg/response/guard.go) prevents cache poisoning by scanning cached responses for PII/secrets/toxicity."
AIS-15,Application & Interface Security - AIS,Prompt Differentiation,AI-Specific,full,scanner; ml,"Prompt differentiation: L1 216 regex patterns (pkg/scanner/patterns.go), L2 ATLAS threat detection (pkg/atlas/detector.go), L3 ML classifier (pkg/ml/detector.go) distinguish legitimate from adversarial prompts with severity scoring and threat classification."
BCR-01,Business Continuity Management and Operational Resilience - BCR,Business Continuity Management Policy and Procedures,Cloud & AI Related,na,N/A,"Business continuity management is an organizational control — AegisGate is a security proxy, not a BCP/DR tool"
BCR-02,Business Continuity Management and Operational Resilience - BCR,Risk Assessment and Impact Analysis,Cloud & AI Related,na,N/A,"Business continuity management is an organizational control — AegisGate is a security proxy, not a BCP/DR tool"
BCR-03,Business Continuity Management and Operational Resilience - BCR,Business Continuity Strategy,Cloud & AI Related,na,N/A,"Business continuity management is an organizational control — AegisGate is a security proxy, not a BCP/DR tool"
BCR-04,Business Continuity Management and Operational Resilience - BCR,Business Continuity Planning,Cloud & AI Related,na,N/A,"Business continuity management is an organizational control — AegisGate is a security proxy, not a BCP/DR tool"
BCR-05,Business Continuity Management and Operational Resilience - BCR,Documentation,Cloud & AI Related,na,N/A,"Business continuity management is an organizational control — AegisGate is a security proxy, not a BCP/DR tool"
BCR-06,Business Continuity Management and Operational Resilience - BCR,Business Continuity Exercises,Cloud & AI Related,na,N/A,"Business continuity management is an organizational control — AegisGate is a security proxy, not a BCP/DR tool"
BCR-07,Business Continuity Management and Operational Resilience - BCR,Communication,Cloud & AI Related,na,N/A,"Business continuity management is an organizational control — AegisGate is a security proxy, not a BCP/DR tool"
BCR-08,Business Continuity Management and Operational Resilience - BCR,Backup,Cloud & AI Related,na,N/A,"Business continuity management is an organizational control — AegisGate is a security proxy, not a BCP/DR tool"
BCR-09,Business Continuity Management and Operational Resilience - BCR,Disaster Response Plan,Cloud & AI Related,na,N/A,"Business continuity management is an organizational control — AegisGate is a security proxy, not a BCP/DR tool"
BCR-10,Business Continuity Management and Operational Resilience - BCR,Response Plan Exercise,Cloud & AI Related,na,N/A,"Business continuity management is an organizational control — AegisGate is a security proxy, not a BCP/DR tool"
BCR-11,Business Continuity Management and Operational Resilience - BCR,Equipment Redundancy,Cloud & AI Related,na,N/A,"Business continuity management is an organizational control — AegisGate is a security proxy, not a BCP/DR tool"
CCC-01,Change Control and Configuration Management - CCC,Change Management Policy and Procedures,Cloud & AI Related,na,N/A,Change management policy is organizational — AegisGate does not manage IT change processes
CCC-02,Change Control and Configuration Management - CCC,Quality Testing,Cloud & AI Related,partial,compliance; scanner,"Quality testing: compliance scanner (pkg/compliance/module.go) validates configurations; test suite (10,706 tests, 83.1% coverage across 60+ packages); posture checks (pkg/posture/check.go) detect configuration drift from baseline."
CCC-03,Change Control and Configuration Management - CCC,Change Management Technology,Cloud & AI Related,na,N/A,Change management technology (ticketing systems) — not AegisGate scope
CCC-04,Change Control and Configuration Management - CCC,Unauthorized Change Protection,Cloud & AI Related,partial,mcp_guardrails; rbac; toolauth,Unauthorized change protection: RBAC (pkg/rbac/manager.go) and tool authorization (pkg/toolauth/matrix.go) prevent unauthorized agent actions; guardrails (pkg/mcpserver/guardrails.go) enforce runtime constraints; audit trail (pkg/audit/handler.go) records all changes.
CCC-05,Change Control and Configuration Management - CCC,Change Agreements,Cloud & AI Related,na,N/A,Change agreements are contractual — not technical
CCC-06,Change Control and Configuration Management - CCC,Change Management Baseline,Cloud & AI Related,partial,compliance; posture,Change management baseline: compliance scanning (pkg/compliance/module.go) establishes security baseline across 31 frameworks; posture checks (pkg/posture/check.go) detect deviations; anomaly detection (pkg/anomaly/scorer.go) identifies unusual configuration changes.
CCC-07,Change Control and Configuration Management - CCC,Detection of Baseline Deviation,Cloud & AI Related,full,posture; anomaly; ml_drift,"Detection of baseline deviation: posture checks (pkg/posture), anomaly detection (pkg/anomaly), and ML drift detection (pkg/ml/drift.go) identify deviations from security baseline"
CCC-08,Change Control and Configuration Management - CCC,Exception Management,Cloud & AI Related,partial,compliance; policy_opa,Exception management: OPA/Rego policy engine (pkg/compliance/policy_opa.go — lightweight Rego evaluator) allows policy exceptions with audit trail; compliance gating (pkg/compliance/module.go — FrameworkAssessment with Remediations) tracks exceptions and remediation.
CCC-09,Change Control and Configuration Management - CCC,Change Restoration,Cloud & AI Related,na,N/A,Change restoration (rollback) is an operational DevOps control
CEK-01,"Cryptography, Encryption & Key Management - CEK",Encryption and Key Management Policy and Procedures,Cloud & AI Related,partial,attestation; sigverify,"Cryptographic signing: attestation envelopes (pkg/attestation/attestation.go — ECDSA P-256, tamper-evident signed claims), MCP signature verification (pkg/signature_verification/mcp_verifier.go), AIBOM signing (pkg/aibom/sign.go). Does not manage full key lifecycle (generation/rotation/revocation)."
CEK-02,"Cryptography, Encryption & Key Management - CEK",CEK Roles and Responsibilities,Cloud & AI Related,na,N/A,CEK roles and responsibilities are organizational
CEK-03,"Cryptography, Encryption & Key Management - CEK",Data Protection,Cloud & AI Related,partial,response_guard,Data protection: PII scanner (pkg/response/pii_scanner.go) and secret detector (pkg/response/secret_detector.go) prevent sensitive data exposure in AI responses; redactor (pkg/response/redactor.go) removes detected sensitive content. Does not implement at-rest encryption — protects data in transit through AI traffic.
CEK-04,"Cryptography, Encryption & Key Management - CEK",Encryption Algorithm,Cloud & AI Related,partial,attestation; ioc,Attestation envelopes (pkg/attestation/attestation.go) use ECDSA P-256 standard cryptographic algorithms; IOC keyring (pkg/ioc/keyring.go) manages cryptographic keys for STIX/TAXII indicator verification; AIBOM signing (pkg/aibom/sign.go) uses ECDSA P-256.
CEK-05,"Cryptography, Encryption & Key Management - CEK",Encryption Change Management,Cloud & AI Related,na,N/A,Encryption algorithm change management is organizational
CEK-06,"Cryptography, Encryption & Key Management - CEK",Encryption Change Cost Benefit Analysis,Cloud & AI Related,na,N/A,Encryption change cost-benefit analysis is organizational
CEK-07,"Cryptography, Encryption & Key Management - CEK",Encryption Risk Management,Cloud & AI Related,na,N/A,Encryption risk management is organizational
CEK-08,"Cryptography, Encryption & Key Management - CEK",Service Customer Key Management Capability,Cloud & AI Related,na,N/A,Customer key management capability is a cloud platform feature — AegisGate does not manage customer keys
CEK-09,"Cryptography, Encryption & Key Management - CEK",Encryption and Key Management Audit,Cloud & AI Related,partial,audit; evidence,"Encryption monitoring: audit trail (pkg/audit/handler.go) records encryption-related events (signature verification, attestation); evidence collection (pkg/evidence/builder.go) documents cryptographic status; attestation envelopes (pkg/attestation/attestation.go) provide cryptographic evidence."
CEK-10,"Cryptography, Encryption & Key Management - CEK",Key Generation,Cloud & AI Related,na,N/A,Key lifecycle management (generation/rotation/revocation/destruction/etc.) is a KMS/HSM function — not AegisGate scope
CEK-11,"Cryptography, Encryption & Key Management - CEK",Key Purpose,Cloud & AI Related,na,N/A,Key lifecycle management (generation/rotation/revocation/destruction/etc.) is a KMS/HSM function — not AegisGate scope
CEK-12,"Cryptography, Encryption & Key Management - CEK",Key Rotation,Cloud & AI Related,na,N/A,Key lifecycle management (generation/rotation/revocation/destruction/etc.) is a KMS/HSM function — not AegisGate scope
CEK-13,"Cryptography, Encryption & Key Management - CEK",Key Revocation,Cloud & AI Related,na,N/A,Key lifecycle management (generation/rotation/revocation/destruction/etc.) is a KMS/HSM function — not AegisGate scope
CEK-14,"Cryptography, Encryption & Key Management - CEK",Key Destruction,Cloud & AI Related,na,N/A,Key lifecycle management (generation/rotation/revocation/destruction/etc.) is a KMS/HSM function — not AegisGate scope
CEK-15,"Cryptography, Encryption & Key Management - CEK",Key Activation,Cloud & AI Related,na,N/A,Key lifecycle management (generation/rotation/revocation/destruction/etc.) is a KMS/HSM function — not AegisGate scope
CEK-16,"Cryptography, Encryption & Key Management - CEK",Key Suspension,Cloud & AI Related,na,N/A,Key lifecycle management (generation/rotation/revocation/destruction/etc.) is a KMS/HSM function — not AegisGate scope
CEK-17,"Cryptography, Encryption & Key Management - CEK",Key Deactivation,Cloud & AI Related,na,N/A,Key lifecycle management (generation/rotation/revocation/destruction/etc.) is a KMS/HSM function — not AegisGate scope
CEK-18,"Cryptography, Encryption & Key Management - CEK",Key Archival,Cloud & AI Related,na,N/A,Key lifecycle management (generation/rotation/revocation/destruction/etc.) is a KMS/HSM function — not AegisGate scope
CEK-19,"Cryptography, Encryption & Key Management - CEK",Key Compromise,Cloud & AI Related,na,N/A,Key lifecycle management (generation/rotation/revocation/destruction/etc.) is a KMS/HSM function — not AegisGate scope
CEK-20,"Cryptography, Encryption & Key Management - CEK",Key Recovery,Cloud & AI Related,na,N/A,Key lifecycle management (generation/rotation/revocation/destruction/etc.) is a KMS/HSM function — not AegisGate scope
CEK-21,"Cryptography, Encryption & Key Management - CEK",Key Inventory Management,Cloud & AI Related,na,N/A,Key lifecycle management (generation/rotation/revocation/destruction/etc.) is a KMS/HSM function — not AegisGate scope
DCS-01,Datacenter Security - DCS,Physical and Environmental Security Policy and Procedures,Cloud & AI Related,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-02,Datacenter Security - DCS,Off-Site Equipment Disposal Policy and Procedures,Cloud & AI Related,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-03,Datacenter Security - DCS,Off-Site Transfer Authorization Policy and Procedures,Cloud & AI Related,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-04,Datacenter Security - DCS,Secure Area Policy and Procedures,Cloud-Specific,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-05,Datacenter Security - DCS,Secure Media Transportation Policy and Procedures,Cloud-Specific,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-06,Datacenter Security - DCS,Assets Classification,Cloud & AI Related,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-07,Datacenter Security - DCS,Assets Cataloguing and Tracking,Cloud & AI Related,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-08,Datacenter Security - DCS,Controlled Physical Access Points,Cloud-Specific,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-09,Datacenter Security - DCS,Equipment Identification,Cloud-Specific,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-10,Datacenter Security - DCS,Secure Area Authorization,Cloud-Specific,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-11,Datacenter Security - DCS,Surveillance System,Cloud-Specific,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-12,Datacenter Security - DCS,Adverse Event Response Training,Cloud-Specific,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-13,Datacenter Security - DCS,Cabling Security,Cloud-Specific,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-14,Datacenter Security - DCS,Environmental Systems,Cloud-Specific,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-15,Datacenter Security - DCS,Secure Utilities,Cloud-Specific,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-16,Datacenter Security - DCS,Equipment Location,Cloud-Specific,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-17,Datacenter Security - DCS,Datacenter Metrics,Cloud-Specific,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DCS-18,Datacenter Security - DCS,Datacenter Operations Resilience,Cloud-Specific,na,N/A,Physical datacenter security — not applicable to AegisGate (software proxy)
DSP-01,Data Security and Privacy Lifecycle Management - DSP,Security and Privacy Policy and Procedures,Cloud & AI Related,partial,response_guard; compliance,"Security and privacy policies enforced through response guard (pkg/response/guard.go — PII/secrets/toxicity/hallucination scanning) and compliance scanning (pkg/compliance/module.go — 31 frameworks including GDPR, CCPA, HIPAA, EU AI Act). Implements technical enforcement, not organizational policy definition."
DSP-02,Data Security and Privacy Lifecycle Management - DSP,Secure Disposal,Cloud & AI Related,partial,response_guard,Secure disposal: redactor (pkg/response/redactor.go) removes sensitive data from AI responses; prompt cache (pkg/promptcache/cache.go) supports TTL and purging; DSAR (pkg/dsar/dsar.go) processes GDPR data deletion requests. Does not manage end-of-life data storage disposal.
DSP-03,Data Security and Privacy Lifecycle Management - DSP,Data Inventory,Cloud & AI Related,partial,aibom; evidence,"Data inventory: AIBOM (pkg/aibom/generator.go — CycloneDX 1.6) enumerates AI components including RAG corpora (SHA-256 hashed), prompts (SHA-256 hashed), models, and 5 protocol pillars (MCP/A2A/ACP/ANP/HTTP). v0.1: explicit struct population; v0.2: auto-discovery."
DSP-04,Data Security and Privacy Lifecycle Management - DSP,Data Classification,Cloud & AI Related,full,response_guard; scanner,"Data classification: PII scanner (pkg/response/pii_scanner.go — classifies PHI, SSN, credit cards, emails, phones), secret detector (pkg/response/secret_detector.go — classifies API keys, tokens, private keys), detection patterns (pkg/scanner/patterns.go — 216 patterns with Severity classification)."
DSP-05,Data Security and Privacy Lifecycle Management - DSP,Data Flow Documentation,Cloud & AI Related,partial,aibom; evidence,"Data flow documentation: AIBOM (pkg/aibom/types.go — 5 protocol pillars: HTTP, MCP, A2A, ACP, ANP) documents data flows across AI protocol paths; evidence builder (pkg/evidence/builder.go) records data flow evidence in signed packages."
DSP-06,Data Security and Privacy Lifecycle Management - DSP,Data Ownership and Stewardship,Cloud & AI Related,na,N/A,Data ownership and stewardship is an organizational governance control
DSP-07,Data Security and Privacy Lifecycle Management - DSP,Data Protection by Design and Default,Cloud & AI Related,full,response_guard; scanner,"Data protection by design: every AI request scanned by pkg/scanner/scanner.go (216 patterns), every response scanned by pkg/response/guard.go (PII/secrets/toxicity/hallucination); PII detection (pkg/response/pii_scanner.go) and redaction (pkg/response/redactor.go) enabled by default."
DSP-08,Data Security and Privacy Lifecycle Management - DSP,Data Privacy by Design and Default,Cloud & AI Related,full,response_guard; scanner,"Privacy by design: PII scanner (pkg/response/pii_scanner.go), secret detector (pkg/response/secret_detector.go), and redactor (pkg/response/redactor.go) are enabled by default in the response guard pipeline (pkg/response/guard.go). No configuration required for baseline privacy protection."
DSP-09,Data Security and Privacy Lifecycle Management - DSP,Data Protection Impact Assessment,Cloud & AI Related,partial,compliance; evidence,"DPIA support: compliance scanning against GDPR (pkg/compliance/community/gdpr/), CCPA (pkg/compliance/ccpa/), EU AI Act (pkg/compliance/eu-ai-act/eu_ai_act.go — checkBiasExamination, checkAIBiasDetection) frameworks supports data protection impact assessments with automated control checks."
DSP-10,Data Security and Privacy Lifecycle Management - DSP,Sensitive Data Transfer,Cloud & AI Related,partial,scanner; response_guard,Sensitive data transfer: proxy (pkg/scanner/scanner.go) inspects all AI traffic; PII detection (pkg/response/pii_scanner.go) and secret detection (pkg/response/secret_detector.go) prevent unauthorized data exfiltration via AI responses; redactor (pkg/response/redactor.go) removes sensitive content.
DSP-11,Data Security and Privacy Lifecycle Management - DSP,"Personal Data Access, Reversal, Rectification and Deletion",Cloud & AI Related,partial,dsar,DSAR: pkg/dsar implements Data Subject Access Requests for GDPR/CCPA compliance (access/rectification/deletion)
DSP-12,Data Security and Privacy Lifecycle Management - DSP,Limitation of Purpose in Personal Data Processing,Cloud & AI Related,partial,scanner; response_guard,Purpose limitation: detection patterns (pkg/scanner/patterns.go) and response guard (pkg/response/guard.go) can be configured to enforce purpose-specific content policies; OPA/Rego engine (pkg/compliance/policy_opa.go) supports declarative policy authoring for purpose restrictions.
DSP-13,Data Security and Privacy Lifecycle Management - DSP,Personal Data Sub-processing,Cloud & AI Related,na,N/A,Personal data sub-processing is a contractual/organizational control
DSP-14,Data Security and Privacy Lifecycle Management - DSP,Disclosure of Data Sub-processors,Cloud & AI Related,na,N/A,Disclosure of sub-processors is a transparency/contractual obligation
DSP-15,Data Security and Privacy Lifecycle Management - DSP,Limitation of Production Data Use,Cloud & AI Related,partial,promptcache; tenant,Production data use limitation: multi-tenancy isolation (pkg/tenant) and prompt cache verification prevent cross-tenant data exposure
DSP-16,Data Security and Privacy Lifecycle Management - DSP,Data Retention and Deletion,Cloud & AI Related,partial,promptcache; dsar,Data retention: prompt cache (pkg/promptcache/cache.go) supports TTL configuration; DSAR (pkg/dsar/dsar.go) processes GDPR data deletion requests; legal hold (pkg/legalhold/legalhold.go) preserves data for litigation. Does not manage organizational retention schedules.
DSP-17,Data Security and Privacy Lifecycle Management - DSP,Sensitive Data Protection,Cloud & AI Related,full,response_guard; scanner,"Sensitive data protection: PII scanner (pkg/response/pii_scanner.go — PHI, SSN, credit cards, emails, phones), secret detector (pkg/response/secret_detector.go — API keys, tokens, private keys), redactor (pkg/response/redactor.go), token limiter (pkg/response/token_limiter.go) provide multi-layer data protection."
DSP-18,Data Security and Privacy Lifecycle Management - DSP,Disclosure Notification,Cloud & AI Related,partial,incident; soar,Disclosure notification: incident engine (pkg/incident/engine.go) and SOAR (pkg/soar/soar.go) can trigger breach notifications; compliance mapping (pkg/incident/compliance_mapping.go) identifies notification requirements across 31 frameworks; audit trail (pkg/audit/handler.go) provides evidence.
DSP-19,Data Security and Privacy Lifecycle Management - DSP,Data Location,Cloud & AI Related,na,N/A,Data location (geographic residency) is a cloud infrastructure control
DSP-20,Data Security and Privacy Lifecycle Management - DSP,Data Provenance and Transparency,Cloud & AI Related,full,aibom; evidence,"Data provenance and transparency: AIBOM (pkg/aibom/generator.go — CycloneDX 1.6) documents full AI supply chain including data sources, models, RAG corpora, prompts, and 5 protocol pillars; attestation (pkg/attestation/attestation.go) provides tamper-evident provenance claims."
DSP-21,Data Security and Privacy Lifecycle Management - DSP,Data Poisoning Prevention & Detection,AI-Specific,full,scanner; ml; atlas,"Inference-time data poisoning detection: L1 regex pattern (pkg/scanner/patterns.go — atlas_poison) detects training data poisoning instructions in prompts; L2 ATLAS (pkg/atlas/detector.go) detects poisoning techniques (T1584, contaminant patterns); L3 ML classifier (pkg/ml/detector.go) includes poisoning vocabulary; incident enrichment (pkg/incident/atlas_enrichment.go) categorizes vector DB poisoning. Does not inspect training datasets directly — detects poisoning attempts and indicators at inference time."
DSP-22,Data Security and Privacy Lifecycle Management - DSP,Privacy Enhancing Technologies,AI-Specific,partial,response_guard; promptcache,"Privacy-enhancing technologies: PII redaction (pkg/response/redactor.go), token limiting (pkg/response/token_limiter.go), and prompt cache normalization (pkg/promptcache/normalize.go) reduce data exposure; secret detector (pkg/response/secret_detector.go) prevents credential leakage."
DSP-23,Data Security and Privacy Lifecycle Management - DSP,Data Integrity Check,AI-Specific,full,attestation; sigverify; aibom,"Data integrity: attestation envelopes (pkg/attestation/attestation.go — tamper-evident, ECDSA P-256), MCP signature verification (pkg/signature_verification/mcp_verifier.go), AIBOM cryptographic signing (pkg/aibom/sign.go) ensure data integrity across AI supply chain."
DSP-24,Data Security and Privacy Lifecycle Management - DSP,Data Differentiation and Relevance,AI-Specific,full,scanner; ml; response_guard,"Data differentiation and relevance: multi-layer detection pipeline (pkg/scanner/scanner.go L1 216 regex, pkg/atlas/detector.go L2 ATLAS, pkg/ml/detector.go L3 ML) distinguishes legitimate from adversarial data; response guard (pkg/response/guard.go) filters irrelevant or harmful content."
GRC-01,"Governance, Risk and Compliance - GRC",Governance Program Policy and Procedures,Cloud & AI Related,partial,compliance,Governance program: compliance engine (pkg/compliance/module.go — 31 frameworks with automated CheckFunc implementations) provides technical governance enforcement; OPA/Rego policy engine (pkg/compliance/policy_opa.go) supports declarative policy authoring. Does not define organizational governance structure.
GRC-02,"Governance, Risk and Compliance - GRC",Risk Management Program,Cloud & AI Related,partial,compliance; residual_risk; posture,"Risk management: residual risk assessment (pkg/compliance/framework_mapping.go — 73KB cross-mapping engine), posture checks (pkg/posture/check.go), and compliance scanning (pkg/compliance/module.go) identify and quantify security risks across 31 frameworks with severity scoring."
GRC-03,"Governance, Risk and Compliance - GRC",Organizational Policy Reviews,Cloud & AI Related,na,N/A,Organizational policy reviews are an executive function
GRC-04,"Governance, Risk and Compliance - GRC",Policy Exception Process,Cloud & AI Related,partial,policy_opa; compliance,Policy exceptions: OPA/Rego policy engine (pkg/compliance/policy_opa.go — lightweight Rego evaluator for declarative compliance) supports exception handling with audit trail (pkg/audit/handler.go); compliance gating (pkg/compliance/module.go — FrameworkAssessment with Remediations) tracks exceptions.
GRC-05,"Governance, Risk and Compliance - GRC",Information Security Program,Cloud & AI Related,partial,compliance; audit; evidence,"Information security program: 31 compliance frameworks (pkg/compliance/framework_registration.go — 31 registerIntoRegistry calls), audit automation (pkg/audit/soc2/), and evidence collection (pkg/evidence/builder.go — ECDSA P-256 signed packages) support security program requirements."
GRC-06,"Governance, Risk and Compliance - GRC",Governance Responsibility Model,Cloud & AI Related,na,N/A,Governance responsibility model is organizational
